,canton_code,canton,gender,sentiment
0,ZH,Zurich,UNKNOWN,0.14411361834042247
1,BE,Bern,UNKNOWN,0.11434663417605849
2,LU,Lucerne,UNKNOWN,0.10252525252525252
3,UR,Uri,UNKNOWN,0.13579433091628212
4,SZ,Schwyz,UNKNOWN,0.1053268765133172
5,OW,Obwalden,UNKNOWN,0.1169811320754717
6,NW,Nidwalden,UNKNOWN,0.07466181061394381
7,GL,Glarus,UNKNOWN,0.08395061728395062
8,ZG,Zug,UNKNOWN,0.034524287434765155
9,FR,Fribourg,UNKNOWN,0.17280564263322884
10,SO,Solothurn,UNKNOWN,0.20631341600901917
11,BS,Basel-City,UNKNOWN,0.11090675004598124
12,BL,Basle-Country,UNKNOWN,0.0
13,SH,Schaffhausen,UNKNOWN,0.10813887307911212
14,AR,Appenzell Outer Rhoden,UNKNOWN,0.0
15,AI,Appenzell Inner Rhoden,UNKNOWN,0.0
16,SG,Saint Gallen,UNKNOWN,0.19372822299651568
17,GR,Grisons,UNKNOWN,0.18755718206770358
18,AG,Aargau,UNKNOWN,0.11643524820764135
19,TG,Thurgau,UNKNOWN,0.07692307692307693
20,TI,Ticino,UNKNOWN,0.02821024617431803
21,VD,Vaud,UNKNOWN,0.10579870849911943
22,VS,Valais,UNKNOWN,0.09495170402770184
23,NE,Neuchâtel,UNKNOWN,0.06608884073672806
24,GE,Geneva,UNKNOWN,0.07613715174991965
25,JU,Jura,UNKNOWN,0.0947808961102905
