,canton_code,canton,month,language,gender,time_period,sentiment
0,ZH,Zurich,7.0,German,Unknown,Day,0.8717948717948718
1,ZH,Zurich,7.0,French,Male,Night,1.0
2,ZH,Zurich,4.0,English,Unknown,Day,0.2573745281699986
3,ZH,Zurich,8.0,German,Female,Day,0.8966789667896679
4,ZH,Zurich,10.0,French,Unknown,Night,0.8536585365853658
5,ZH,Zurich,5.0,English,Female,Day,0.2066375968992248
6,ZH,Zurich,1.0,French,Female,Night,0.6
7,ZH,Zurich,9.0,German,Unknown,Night,0.9362880886426592
8,ZH,Zurich,9.0,French,Male,Day,0.7647058823529411
9,ZH,Zurich,6.0,English,Unknown,Night,0.2407913330193123
10,ZH,Zurich,1.0,German,Male,Night,0.8604651162790697
11,ZH,Zurich,7.0,English,Female,Night,0.2663003663003663
12,ZH,Zurich,2.0,French,Unknown,Day,0.9178082191780822
13,ZH,Zurich,10.0,English,Male,Day,0.2165437890974084
14,ZH,Zurich,3.0,French,Female,Day,0.8823529411764706
15,ZH,Zurich,3.0,German,Male,Day,0.9453781512605042
16,ZH,Zurich,8.0,English,Unknown,Day,0.182655410590944
17,ZH,Zurich,9.0,English,Female,Day,0.25818989450305385
18,ZH,Zurich,4.0,French,Unknown,Night,0.975
19,ZH,Zurich,5.0,French,Female,Night,0.9130434782608696
20,ZH,Zurich,5.0,German,Male,Night,0.917948717948718
21,ZH,Zurich,2.0,English,Male,Night,0.1098527746319366
22,ZH,Zurich,6.0,French,Unknown,Day,0.935483870967742
23,ZH,Zurich,7.0,French,Female,Day,1.0
24,ZH,Zurich,7.0,German,Male,Day,0.9298245614035088
25,ZH,Zurich,4.0,English,Male,Day,0.2160986221899928
26,ZH,Zurich,10.0,German,Unknown,Day,0.9235074626865672
27,ZH,Zurich,10.0,French,Male,Night,1.0
28,ZH,Zurich,8.0,French,Unknown,Night,0.9705882352941176
29,ZH,Zurich,9.0,French,Female,Night,0.8787878787878788
30,ZH,Zurich,1.0,German,Female,Day,0.8625954198473282
31,ZH,Zurich,9.0,German,Male,Night,0.9030837004405288
32,ZH,Zurich,6.0,English,Male,Night,0.16082348145128414
33,ZH,Zurich,10.0,English,Female,Night,0.2802211610957527
34,ZH,Zurich,2.0,German,Unknown,Night,0.9070796460176992
35,ZH,Zurich,2.0,French,Male,Day,0.5
36,ZH,Zurich,3.0,German,Female,Night,0.9363057324840764
37,ZH,Zurich,8.0,English,Male,Day,0.21949147743360325
38,ZH,Zurich,4.0,German,Unknown,Day,0.9440089585666294
39,ZH,Zurich,4.0,French,Male,Night,1.0
40,ZH,Zurich,1.0,English,Unknown,Day,0.014114627887082978
41,ZH,Zurich,5.0,German,Female,Day,0.8806818181818182
42,ZH,Zurich,2.0,English,Female,Day,0.12285298398835515
43,ZH,Zurich,6.0,German,Unknown,Night,0.949820788530466
44,ZH,Zurich,6.0,French,Male,Day,0.6666666666666666
45,ZH,Zurich,3.0,English,Unknown,Night,0.3198876930276088
46,ZH,Zurich,7.0,German,Female,Night,1.0
47,ZH,Zurich,4.0,English,Female,Night,0.2185246810870771
48,ZH,Zurich,10.0,French,Female,Day,0.9435028248587571
49,ZH,Zurich,10.0,German,Male,Day,0.9111791730474732
50,ZH,Zurich,8.0,German,Unknown,Day,0.9245283018867924
51,ZH,Zurich,8.0,French,Male,Night,0.7777777777777778
52,ZH,Zurich,5.0,English,Unknown,Day,0.24724578954033175
53,ZH,Zurich,9.0,German,Female,Day,0.8853503184713376
54,ZH,Zurich,6.0,English,Female,Day,0.15481941568898092
55,ZH,Zurich,1.0,French,Unknown,Night,0.6666666666666666
56,ZH,Zurich,2.0,French,Female,Night,1.0
57,ZH,Zurich,2.0,German,Male,Night,0.9351351351351352
58,ZH,Zurich,7.0,English,Unknown,Night,0.21173546248870145
59,ZH,Zurich,8.0,English,Female,Night,0.2811808118081181
60,ZH,Zurich,3.0,French,Unknown,Day,1.0
61,ZH,Zurich,4.0,French,Female,Day,0.85
62,ZH,Zurich,4.0,German,Male,Day,0.97119341563786
63,ZH,Zurich,9.0,English,Unknown,Day,0.2122094970196236
64,ZH,Zurich,1.0,English,Male,Day,0.03421164470888228
65,ZH,Zurich,5.0,French,Unknown,Night,0.9534883720930232
66,ZH,Zurich,6.0,French,Female,Night,1.0
67,ZH,Zurich,6.0,German,Male,Night,0.9076923076923076
68,ZH,Zurich,3.0,English,Male,Night,0.19104296953802705
69,ZH,Zurich,10.0,German,Female,Night,0.7971014492753623
70,ZH,Zurich,7.0,French,Unknown,Day,1.0
71,ZH,Zurich,8.0,French,Female,Day,0.9473684210526316
72,ZH,Zurich,8.0,German,Male,Day,0.9147286821705426
73,ZH,Zurich,5.0,English,Male,Day,0.1950207468879668
74,ZH,Zurich,9.0,French,Unknown,Night,0.972972972972973
75,ZH,Zurich,1.0,German,Unknown,Day,0.8623481781376519
76,ZH,Zurich,1.0,French,Male,Night,1.0
77,ZH,Zurich,2.0,German,Female,Day,0.851528384279476
78,ZH,Zurich,7.0,English,Male,Night,0.1741976688487945
79,ZH,Zurich,10.0,English,Unknown,Night,0.2148834597023308
80,ZH,Zurich,3.0,German,Unknown,Night,0.9335664335664337
81,ZH,Zurich,3.0,French,Male,Day,0.8181818181818182
82,ZH,Zurich,4.0,German,Female,Night,0.8918918918918919
83,ZH,Zurich,1.0,English,Female,Night,0.031905195989061066
84,ZH,Zurich,9.0,English,Male,Day,0.24142500382243515
85,ZH,Zurich,5.0,German,Unknown,Day,0.933453237410072
86,ZH,Zurich,5.0,French,Male,Night,1.0
87,ZH,Zurich,2.0,English,Unknown,Day,0.2846875
88,ZH,Zurich,6.0,German,Female,Day,0.9036144578313252
89,ZH,Zurich,3.0,English,Female,Day,0.19589503767212266
90,ZH,Zurich,7.0,French,Male,Day,1.0
91,ZH,Zurich,7.0,German,Unknown,Night,0.958041958041958
92,ZH,Zurich,4.0,English,Unknown,Night,0.27873761806035474
93,ZH,Zurich,10.0,French,Unknown,Day,0.979591836734694
94,ZH,Zurich,8.0,German,Female,Night,0.8627450980392157
95,ZH,Zurich,5.0,English,Female,Night,0.2187206020696143
96,ZH,Zurich,1.0,French,Female,Day,0.75
97,ZH,Zurich,9.0,German,Unknown,Day,0.9476439790575916
98,ZH,Zurich,9.0,French,Male,Night,1.0
99,ZH,Zurich,6.0,English,Unknown,Day,0.22165644171779145
100,ZH,Zurich,1.0,German,Male,Day,0.8947368421052632
101,ZH,Zurich,7.0,English,Female,Day,0.2285597881442249
102,ZH,Zurich,2.0,French,Unknown,Night,0.9111111111111112
103,ZH,Zurich,3.0,French,Female,Night,1.0
104,ZH,Zurich,10.0,English,Male,Night,0.2005519779208832
105,ZH,Zurich,8.0,English,Unknown,Night,0.2047637341529005
106,ZH,Zurich,3.0,German,Male,Night,0.9622641509433962
107,ZH,Zurich,9.0,English,Female,Night,0.2639815289892252
108,ZH,Zurich,4.0,French,Unknown,Day,0.9506172839506172
109,ZH,Zurich,5.0,French,Female,Day,0.925925925925926
110,ZH,Zurich,5.0,German,Male,Day,0.9220272904483432
111,ZH,Zurich,2.0,English,Male,Day,0.11732553705351467
112,ZH,Zurich,6.0,French,Unknown,Night,1.0
113,ZH,Zurich,7.0,French,Female,Night,1.0
114,ZH,Zurich,7.0,German,Male,Night,0.8333333333333334
115,ZH,Zurich,4.0,English,Male,Night,0.1846049046321526
116,ZH,Zurich,10.0,German,Unknown,Night,0.9484848484848484
117,ZH,Zurich,10.0,French,Male,Day,0.9090909090909092
118,ZH,Zurich,8.0,French,Unknown,Day,0.9718309859154929
119,ZH,Zurich,9.0,French,Female,Day,0.935483870967742
120,ZH,Zurich,1.0,German,Female,Night,1.0
121,ZH,Zurich,9.0,German,Male,Day,0.9297124600638976
122,ZH,Zurich,6.0,English,Male,Day,0.2059095106186519
123,ZH,Zurich,10.0,English,Female,Day,0.2761776581426649
124,ZH,Zurich,2.0,German,Unknown,Day,0.9331797235023042
125,ZH,Zurich,2.0,French,Male,Night,0.3333333333333333
126,ZH,Zurich,3.0,German,Female,Day,0.8936170212765957
127,ZH,Zurich,8.0,English,Male,Night,0.2231139646869984
128,ZH,Zurich,4.0,German,Unknown,Night,0.9847328244274808
129,ZH,Zurich,4.0,French,Male,Day,0.7777777777777778
130,ZH,Zurich,1.0,English,Unknown,Night,0.01112747504500082
131,ZH,Zurich,5.0,German,Female,Night,0.8518518518518519
132,ZH,Zurich,2.0,English,Female,Night,0.17391304347826084
133,ZH,Zurich,6.0,German,Unknown,Day,0.9370078740157479
134,ZH,Zurich,6.0,French,Male,Night,1.0
135,ZH,Zurich,3.0,English,Unknown,Day,0.27117469120241994
136,ZH,Zurich,7.0,German,Female,Day,0.696969696969697
137,ZH,Zurich,4.0,English,Female,Day,0.17740608719495474
138,ZH,Zurich,10.0,French,Female,Night,0.9310344827586208
139,ZH,Zurich,10.0,German,Male,Night,0.923809523809524
140,ZH,Zurich,8.0,German,Unknown,Night,0.9128978224455612
141,ZH,Zurich,8.0,French,Male,Day,1.0
142,ZH,Zurich,5.0,English,Unknown,Night,0.2734060320267217
143,ZH,Zurich,9.0,German,Female,Night,0.8561151079136691
144,ZH,Zurich,6.0,English,Female,Night,0.1773142112125163
145,ZH,Zurich,1.0,French,Unknown,Day,0.8333333333333334
146,ZH,Zurich,2.0,French,Female,Day,1.0
147,ZH,Zurich,2.0,German,Male,Day,0.9209876543209876
148,ZH,Zurich,7.0,English,Unknown,Day,0.2002805184755272
149,ZH,Zurich,8.0,English,Female,Day,0.2298567915521481
150,ZH,Zurich,3.0,French,Unknown,Night,0.9746835443037974
151,ZH,Zurich,4.0,French,Female,Night,0.68
152,ZH,Zurich,9.0,English,Unknown,Night,0.2023857546245606
153,ZH,Zurich,4.0,German,Male,Night,0.9111111111111112
154,ZH,Zurich,1.0,English,Male,Night,0.02494415487714073
155,ZH,Zurich,5.0,French,Unknown,Day,0.9245283018867924
156,ZH,Zurich,6.0,French,Female,Day,0.9333333333333332
157,ZH,Zurich,6.0,German,Male,Day,0.9088471849865952
158,ZH,Zurich,3.0,English,Male,Day,0.21084536536977846
159,ZH,Zurich,10.0,German,Female,Day,0.8220640569395018
160,ZH,Zurich,7.0,French,Unknown,Night,1.0
161,ZH,Zurich,8.0,French,Female,Night,0.9
162,ZH,Zurich,8.0,German,Male,Night,0.958974358974359
163,ZH,Zurich,5.0,English,Male,Night,0.1733836391699537
164,ZH,Zurich,9.0,French,Unknown,Day,0.945945945945946
165,ZH,Zurich,1.0,German,Unknown,Night,0.8151260504201681
166,ZH,Zurich,1.0,French,Male,Day,0.7142857142857143
167,ZH,Zurich,2.0,German,Female,Night,0.9318181818181818
168,ZH,Zurich,7.0,English,Male,Day,0.2041910733437835
169,ZH,Zurich,10.0,English,Unknown,Day,0.2079975517698664
170,ZH,Zurich,3.0,German,Unknown,Day,0.9207507820646508
171,ZH,Zurich,3.0,French,Male,Night,0.6
172,ZH,Zurich,4.0,German,Female,Day,0.9074733096085408
173,ZH,Zurich,1.0,English,Female,Day,0.04055220017256255
174,ZH,Zurich,9.0,English,Male,Night,0.21965438267749324
175,ZH,Zurich,5.0,German,Unknown,Night,0.9846390168970814
176,ZH,Zurich,5.0,French,Male,Day,1.0
177,ZH,Zurich,2.0,English,Unknown,Night,0.3360598065083553
178,ZH,Zurich,6.0,German,Female,Night,0.9583333333333334
179,ZH,Zurich,3.0,English,Female,Night,0.2587341772151899
180,BE,Bern,6.0,German,Male,Night,0.9069767441860463
181,BE,Bern,3.0,English,Male,Night,0.16785714285714284
182,BE,Bern,10.0,German,Female,Night,0.9574468085106383
183,BE,Bern,7.0,French,Unknown,Day,1.0
184,BE,Bern,8.0,French,Female,Day,1.0
185,BE,Bern,8.0,German,Male,Day,0.9314285714285714
186,BE,Bern,5.0,English,Male,Day,0.2351834430856068
187,BE,Bern,9.0,French,Unknown,Night,1.0
188,BE,Bern,1.0,German,Unknown,Day,0.8108108108108109
189,BE,Bern,1.0,French,Male,Night,1.0
190,BE,Bern,2.0,German,Female,Day,0.9272727272727272
191,BE,Bern,7.0,English,Male,Night,0.12700729927007298
192,BE,Bern,10.0,English,Unknown,Night,0.11895497498610337
193,BE,Bern,3.0,German,Unknown,Night,0.9076923076923076
194,BE,Bern,3.0,French,Male,Day,0.3333333333333333
195,BE,Bern,4.0,German,Female,Night,1.0
196,BE,Bern,1.0,English,Female,Night,0.00909090909090909
197,BE,Bern,9.0,English,Male,Day,0.20394173093401885
198,BE,Bern,5.0,German,Unknown,Day,0.9135802469135802
199,BE,Bern,5.0,French,Male,Night,0.6666666666666666
200,BE,Bern,2.0,English,Unknown,Day,0.0776495278069255
201,BE,Bern,6.0,German,Female,Day,0.9302325581395348
202,BE,Bern,3.0,English,Female,Day,0.10080645161290322
203,BE,Bern,7.0,German,Unknown,Night,1.0
204,BE,Bern,4.0,English,Unknown,Night,0.10202550637659416
205,BE,Bern,10.0,French,Unknown,Day,0.6
206,BE,Bern,8.0,German,Female,Night,1.0
207,BE,Bern,5.0,English,Female,Night,0.231404958677686
208,BE,Bern,9.0,German,Unknown,Day,0.8106508875739645
209,BE,Bern,9.0,French,Male,Night,1.0
210,BE,Bern,6.0,English,Unknown,Day,0.166371158392435
211,BE,Bern,1.0,German,Male,Day,0.8775510204081632
212,BE,Bern,7.0,English,Female,Day,0.2171945701357466
213,BE,Bern,2.0,French,Unknown,Night,1.0
214,BE,Bern,10.0,English,Male,Night,0.16876971608832808
215,BE,Bern,3.0,French,Female,Night,1.0
216,BE,Bern,8.0,English,Unknown,Night,0.19016030956329466
217,BE,Bern,3.0,German,Male,Night,1.0
218,BE,Bern,9.0,English,Female,Night,0.15048543689320387
219,BE,Bern,4.0,French,Unknown,Day,1.0
220,BE,Bern,5.0,French,Female,Day,1.0
221,BE,Bern,5.0,German,Male,Day,0.9253731343283582
222,BE,Bern,2.0,English,Male,Day,0.1690340909090909
223,BE,Bern,7.0,German,Male,Night,1.0
224,BE,Bern,4.0,English,Male,Night,0.19444444444444445
225,BE,Bern,10.0,German,Unknown,Night,0.9230769230769232
226,BE,Bern,10.0,French,Male,Day,1.0
227,BE,Bern,8.0,French,Unknown,Day,1.0
228,BE,Bern,9.0,French,Female,Day,1.0
229,BE,Bern,1.0,German,Female,Night,0.8666666666666667
230,BE,Bern,9.0,German,Male,Day,0.934065934065934
231,BE,Bern,6.0,English,Male,Day,0.2714681440443213
232,BE,Bern,10.0,English,Female,Day,0.15023474178403756
233,BE,Bern,2.0,German,Unknown,Day,0.8857142857142857
234,BE,Bern,3.0,German,Female,Day,1.0
235,BE,Bern,8.0,English,Male,Night,0.14534883720930233
236,BE,Bern,4.0,German,Unknown,Night,0.8596491228070176
237,BE,Bern,4.0,French,Male,Day,1.0
238,BE,Bern,1.0,English,Unknown,Night,0.006535947712418301
239,BE,Bern,5.0,German,Female,Night,0.9166666666666666
240,BE,Bern,2.0,English,Female,Night,0.1564625850340136
241,BE,Bern,6.0,German,Unknown,Day,0.8852459016393442
242,BE,Bern,3.0,English,Unknown,Day,0.1438496117695137
243,BE,Bern,7.0,German,Female,Day,0.8181818181818182
244,BE,Bern,4.0,English,Female,Day,0.1087719298245614
245,BE,Bern,10.0,German,Male,Night,0.9649122807017544
246,BE,Bern,8.0,German,Unknown,Night,0.8518518518518519
247,BE,Bern,8.0,French,Male,Day,1.0
248,BE,Bern,5.0,English,Unknown,Night,0.08922558922558922
249,BE,Bern,9.0,German,Female,Night,0.8947368421052632
250,BE,Bern,6.0,English,Female,Night,0.1875
251,BE,Bern,1.0,French,Unknown,Day,1.0
252,BE,Bern,2.0,French,Female,Day,1.0
253,BE,Bern,2.0,German,Male,Day,0.9111111111111112
254,BE,Bern,7.0,English,Unknown,Day,0.16925925925925925
255,BE,Bern,8.0,English,Female,Day,0.20930232558139536
256,BE,Bern,9.0,English,Unknown,Night,0.13957307060755336
257,BE,Bern,4.0,German,Male,Night,1.0
258,BE,Bern,1.0,English,Male,Night,0.02610966057441253
259,BE,Bern,5.0,French,Unknown,Day,1.0
260,BE,Bern,6.0,German,Male,Day,0.9285714285714286
261,BE,Bern,3.0,English,Male,Day,0.20493827160493827
262,BE,Bern,10.0,German,Female,Day,0.9753086419753086
263,BE,Bern,8.0,German,Male,Night,0.9718309859154929
264,BE,Bern,5.0,English,Male,Night,0.1915820029027576
265,BE,Bern,9.0,French,Unknown,Day,1.0
266,BE,Bern,1.0,German,Unknown,Night,0.4782608695652174
267,BE,Bern,1.0,French,Male,Day,1.0
268,BE,Bern,2.0,German,Female,Night,1.0
269,BE,Bern,7.0,English,Male,Day,0.17364016736401675
270,BE,Bern,10.0,English,Unknown,Day,0.15737363210005212
271,BE,Bern,3.0,German,Unknown,Day,0.9620253164556962
272,BE,Bern,3.0,French,Male,Night,1.0
273,BE,Bern,4.0,German,Female,Day,0.9032258064516128
274,BE,Bern,1.0,English,Female,Day,0.043209876543209874
275,BE,Bern,9.0,English,Male,Night,0.23161189358372455
276,BE,Bern,5.0,German,Unknown,Night,0.7241379310344828
277,BE,Bern,5.0,French,Male,Day,1.0
278,BE,Bern,2.0,English,Unknown,Night,0.07160096540627514
279,BE,Bern,6.0,German,Female,Night,1.0
280,BE,Bern,3.0,English,Female,Night,0.1564625850340136
281,BE,Bern,7.0,German,Unknown,Day,1.0
282,BE,Bern,4.0,English,Unknown,Day,0.15011037527593818
283,BE,Bern,8.0,German,Female,Day,1.0
284,BE,Bern,5.0,English,Female,Day,0.0970464135021097
285,BE,Bern,9.0,German,Unknown,Night,0.5454545454545454
286,BE,Bern,9.0,French,Male,Day,1.0
287,BE,Bern,1.0,German,Male,Night,0.9166666666666666
288,BE,Bern,6.0,English,Unknown,Night,0.10646823125357756
289,BE,Bern,7.0,English,Female,Night,0.2389937106918239
290,BE,Bern,2.0,French,Unknown,Day,1.0
291,BE,Bern,10.0,English,Male,Day,0.2160986221899928
292,BE,Bern,3.0,French,Female,Day,1.0
293,BE,Bern,8.0,English,Unknown,Day,0.18821603927986907
294,BE,Bern,3.0,German,Male,Day,0.9655172413793104
295,BE,Bern,9.0,English,Female,Day,0.2979591836734694
296,BE,Bern,4.0,French,Unknown,Night,1.0
297,BE,Bern,5.0,German,Male,Night,1.0
298,BE,Bern,2.0,English,Male,Night,0.14312267657992564
299,BE,Bern,6.0,French,Unknown,Day,1.0
300,BE,Bern,7.0,German,Male,Day,1.0
301,BE,Bern,4.0,English,Male,Day,0.1938534278959811
302,BE,Bern,10.0,German,Unknown,Day,0.7387755102040816
303,BE,Bern,10.0,French,Male,Night,0.3333333333333333
304,BE,Bern,1.0,German,Female,Day,0.951219512195122
305,BE,Bern,9.0,German,Male,Night,0.9701492537313432
306,BE,Bern,6.0,English,Male,Night,0.21316614420062696
307,BE,Bern,10.0,English,Female,Night,0.08148148148148149
308,BE,Bern,2.0,German,Unknown,Night,0.35
309,BE,Bern,2.0,French,Male,Day,1.0
310,BE,Bern,3.0,German,Female,Night,1.0
311,BE,Bern,8.0,English,Male,Day,0.21813515825491872
312,BE,Bern,4.0,German,Unknown,Day,0.828125
313,BE,Bern,4.0,French,Male,Night,1.0
