,canton_code,canton,month,language,gender,time_period,count,sentiment
0,AG,Aargau,8,English,Male,Day,50,0.16
1,AG,Aargau,10,English,Female,Day,10,0.1
2,AG,Aargau,2,German,Unknown,Day,6,1.0
3,AG,Aargau,3,German,Female,Day,6,1.0
4,AG,Aargau,4,German,Unknown,Night,5,1.0
5,AG,Aargau,1,English,Unknown,Night,11,0.0
6,AG,Aargau,5,German,Female,Night,14,1.0
7,AG,Aargau,2,English,Female,Night,5,0.2
8,AG,Aargau,6,German,Unknown,Day,25,0.92
9,AG,Aargau,10,German,Male,Day,7,0.7142857142857143
10,AG,Aargau,3,English,Unknown,Day,38,0.2631578947368421
11,AG,Aargau,7,German,Female,Day,1,1.0
12,AG,Aargau,4,English,Female,Day,44,0.18181818181818185
13,AG,Aargau,8,German,Unknown,Night,5,1.0
14,AG,Aargau,5,English,Unknown,Night,26,0.2692307692307692
15,AG,Aargau,9,German,Female,Night,1,1.0
16,AG,Aargau,6,English,Female,Night,3,0.3333333333333333
17,AG,Aargau,2,German,Male,Night,5,1.0
18,AG,Aargau,7,English,Unknown,Day,1636,0.20537897310513448
19,AG,Aargau,8,English,Female,Day,13,0.2307692307692308
20,AG,Aargau,4,German,Male,Day,10,0.8
21,AG,Aargau,1,English,Male,Day,198,0.0
22,AG,Aargau,9,English,Unknown,Night,4284,0.2530345471521942
23,AG,Aargau,6,German,Male,Night,9,1.0
24,AG,Aargau,3,English,Male,Night,31,0.12903225806451613
25,AG,Aargau,8,German,Male,Day,7,1.0
26,AG,Aargau,10,German,Female,Day,3,-0.3333333333333333
27,AG,Aargau,5,English,Male,Day,93,0.13978494623655913
28,AG,Aargau,7,English,Male,Night,16,-0.0625
29,AG,Aargau,1,German,Unknown,Night,2,1.0
30,AG,Aargau,2,German,Female,Night,5,1.0
31,AG,Aargau,3,French,Male,Day,1,1.0
32,AG,Aargau,10,English,Unknown,Day,4400,0.2559090909090909
33,AG,Aargau,9,English,Male,Day,59,0.03389830508474576
34,AG,Aargau,3,German,Unknown,Day,13,1.0
35,AG,Aargau,4,German,Female,Day,39,0.9487179487179488
36,AG,Aargau,1,English,Female,Day,16,0.0
37,AG,Aargau,5,German,Unknown,Night,10,1.0
38,AG,Aargau,2,English,Unknown,Night,33,0.21212121212121213
39,AG,Aargau,6,German,Female,Night,1,1.0
40,AG,Aargau,3,English,Female,Night,13,0.15384615384615385
41,AG,Aargau,7,German,Unknown,Day,1,1.0
42,AG,Aargau,4,English,Unknown,Day,33,0.3939393939393939
43,AG,Aargau,8,German,Female,Day,5,1.0
44,AG,Aargau,5,English,Female,Day,22,0.18181818181818185
45,AG,Aargau,1,German,Male,Day,7,0.42857142857142855
46,AG,Aargau,9,German,Unknown,Night,17,1.0
47,AG,Aargau,6,English,Unknown,Night,94,0.20212765957446807
