,canton,month,language,gender,time_period,avg_sentiment,count
0,Basel-City,7,en,MALE,Day,0.16316931982633864,2764
1,Geneva,8,en,MALE,Day,0.13686382393397525,13086
2,Solothurn,9,en,FEMALE,Night,0.2608695652173913,69
3,Schwyz,5,en,UNKNOWN,Day,0.5,6
4,Basel-City,9,fr,UNKNOWN,Night,1.0,2
5,Thurgau,8,en,MALE,Day,0.10526315789473684,19
6,Basel-Landschaft,5,en,FEMALE,Day,0.2,5
7,Glarus,4,en,MALE,Day,1.0,1
8,Basel-City,1,de,UNKNOWN,Day,0.8735042735042735,585
9,Vaud,4,fr,MALE,Day,0.8545454545454545,220
10,Neuchâtel,8,en,MALE,Day,0.3333333333333333,192
11,Aargau,8,en,MALE,Day,0.16,50
12,Zurich,7,de,UNKNOWN,Day,0.8717948717948718,156
13,Obwalden,8,en,UNKNOWN,Night,0.05405405405405406,37
14,Aargau,10,en,FEMALE,Day,0.1,10
15,Thurgau,2,de,UNKNOWN,Day,1.0,5
16,Bern,6,de,MALE,Night,0.9069767441860465,43
17,Zurich,7,fr,MALE,Night,1.0,2
18,Schaffhausen,5,de,UNKNOWN,Day,1.0,5
19,Appenzell Ausserrhoden,5,de,MALE,Day,1.0,2
20,Lucerne,6,de,FEMALE,Night,1.0,2
21,Lucerne,3,en,FEMALE,Night,0.012048192771084338,83
22,Bern,3,en,MALE,Night,0.16785714285714284,560
23,Zurich,4,en,UNKNOWN,Day,0.2573745281699986,14306
24,Vaud,5,de,FEMALE,Night,0.8833333333333333,120
25,Valais,6,fr,FEMALE,Night,0.5897435897435898,39
26,Zurich,8,de,FEMALE,Day,0.8966789667896679,271
27,Saint Gallen,8,en,MALE,Day,0.1625615763546798,203
28,Valais,9,en,UNKNOWN,Night,0.08919803600654665,3666
29,Zurich,10,fr,UNKNOWN,Night,0.8536585365853658,82
30,Jura,1,fr,MALE,Day,1.0,1
31,Basel-City,2,de,FEMALE,Day,0.9503105590062112,161
32,Schaffhausen,2,en,UNKNOWN,Day,0.22,50
33,Appenzell Ausserrhoden,2,en,MALE,Day,0.25,8
34,Thurgau,3,de,FEMALE,Day,1.0,3
35,Obwalden,9,en,FEMALE,Night,0.0,1
36,Nidwalden,4,de,MALE,Night,1.0,2
37,Schaffhausen,6,de,FEMALE,Day,0.6923076923076923,13
38,Aargau,2,de,UNKNOWN,Day,1.0,6
39,Saint Gallen,10,en,FEMALE,Day,0.0,9
40,Grisons,5,de,MALE,Night,1.0,9
41,Schwyz,2,de,MALE,Day,1.0,1
42,Vaud,2,en,FEMALE,Night,0.1580989991148635,14687
43,Saint Gallen,2,de,UNKNOWN,Day,0.9504132231404959,121
44,Geneva,4,de,UNKNOWN,Day,-1.0,1
45,Zurich,5,en,FEMALE,Day,0.2066375968992248,4128
46,Geneva,4,fr,MALE,Night,0.8888888888888888,36
47,Bern,10,de,FEMALE,Night,0.9574468085106383,47
48,Basel-City,3,fr,MALE,Night,0.7333333333333333,15
49,Grisons,2,en,MALE,Night,0.0,19
50,Aargau,3,de,FEMALE,Day,1.0,6
51,Schaffhausen,3,en,FEMALE,Day,0.0,2
52,Geneva,1,en,UNKNOWN,Day,0.006796793307772743,5738
53,Ticino,4,en,MALE,Night,0.1067193675889328,253
54,Lucerne,5,de,UNKNOWN,Day,0.84375,64
55,Geneva,5,de,FEMALE,Day,0.9487179487179487,39
56,Ticino,10,fr,MALE,Day,1.0,2
57,Saint Gallen,3,de,FEMALE,Day,1.0,1
58,Valais,6,de,MALE,Night,1.0,1
59,Obwalden,2,en,MALE,Night,-0.14285714285714285,7
60,Bern,7,fr,UNKNOWN,Day,1.0,1
61,Uri,6,en,MALE,Night,0.0,1
62,Geneva,2,en,FEMALE,Day,0.1296969696969697,1650
63,Valais,3,en,MALE,Night,0.1291248206599713,697
64,Vaud,4,de,UNKNOWN,Day,0.9021852237252862,961
65,Valais,5,fr,UNKNOWN,Day,0.7823033707865169,1424
66,Jura,7,en,MALE,Day,-0.3333333333333333,3
67,Basel-City,10,en,UNKNOWN,Night,0.1539348515422312,10407
68,Lucerne,2,en,UNKNOWN,Day,0.22566371681415928,226
69,Solothurn,5,de,MALE,Day,0.8,20
70,Basel-Landschaft,10,en,MALE,Night,0.3333333333333333,21
71,Fribourg,5,en,MALE,Night,0.12244897959183673,49
72,Basel-Landschaft,6,en,UNKNOWN,Night,-0.5,2
73,Bern,8,fr,FEMALE,Day,1.0,1
74,Fribourg,7,fr,UNKNOWN,Day,1.0,3
75,Vaud,1,en,UNKNOWN,Day,0.014692733380053648,41381
76,Solothurn,2,en,MALE,Day,0.03225806451612903,31
77,Basel-City,9,en,MALE,Night,0.17063492063492064,2016
78,Schwyz,7,en,UNKNOWN,Night,0.0,7
79,Basel-Landschaft,7,en,FEMALE,Night,0.0,2
80,Neuchâtel,2,en,FEMALE,Day,0.26666666666666666,15
81,Zurich,1,fr,FEMALE,Night,0.6,5
82,Appenzell Innerrhoden,1,en,MALE,Night,0.0,1
83,Basel-City,3,de,UNKNOWN,Night,0.9347258485639687,766
84,Vaud,6,fr,MALE,Night,0.8556701030927835,97
85,Bern,8,de,MALE,Day,0.9314285714285714,175
86,Zurich,9,de,UNKNOWN,Night,0.9362880886426593,722
87,Geneva,10,en,,Day,1.0,1
88,Zurich,9,fr,MALE,Day,0.7647058823529411,17
89,Lucerne,8,de,FEMALE,Day,1.0,4
90,Appenzell Ausserrhoden,7,de,MALE,Night,1.0,2
91,Thurgau,4,de,UNKNOWN,Night,1.0,1
92,Basel-Landschaft,3,de,MALE,Night,1.0,2
93,Ticino,9,fr,FEMALE,Day,1.0,1
94,Basel-City,4,de,FEMALE,Night,0.8206896551724138,145
95,Schaffhausen,4,en,UNKNOWN,Night,0.3611111111111111,36
96,Bern,5,en,MALE,Day,0.23518344308560676,1063
97,Zurich,6,en,UNKNOWN,Night,0.2407913330193123,10615
98,Valais,8,fr,FEMALE,Day,0.6,85
99,Zurich,1,de,MALE,Night,0.8604651162790697,86
100,Lucerne,5,en,FEMALE,Day,0.3103448275862069,116
101,Vaud,7,de,FEMALE,Day,0.6666666666666666,12
102,Fribourg,1,fr,MALE,Day,1.0,2
103,Appenzell Ausserrhoden,4,en,MALE,Night,1.0,1
104,Aargau,4,de,UNKNOWN,Night,1.0,5
105,Schaffhausen,8,de,FEMALE,Night,1.0,5
106,Grisons,7,de,MALE,Day,1.0,1
107,Thurgau,1,en,UNKNOWN,Night,0.0,2
108,Basel-City,1,en,FEMALE,Night,0.020477815699658702,293
109,Vaud,4,en,FEMALE,Day,0.23388528917686585,20835
110,Geneva,6,fr,MALE,Day,0.7837837837837838,74
111,Zurich,7,en,FEMALE,Night,0.2663003663003663,2730
112,Saint Gallen,4,de,UNKNOWN,Night,0.9322033898305084,59
113,Vaud,10,fr,FEMALE,Night,0.5681818181818182,88
114,Basel-City,5,fr,MALE,Day,0.6842105263157895,38
115,Grisons,4,en,MALE,Day,0.3333333333333333,42
116,Aargau,1,en,UNKNOWN,Night,0.0,11
117,Neuchâtel,1,en,UNKNOWN,Night,0.0,20
118,Aargau,5,de,FEMALE,Night,1.0,14
119,Nidwalden,3,en,MALE,Day,0.5,2
120,Obwalden,7,de,MALE,Day,1.0,1
121,Thurgau,2,en,FEMALE,Night,0.0,1
122,Schwyz,1,en,MALE,Night,0.25,4
123,Schaffhausen,5,en,FEMALE,Night,0.0,3
124,Geneva,3,en,UNKNOWN,Night,0.090440755580996,8735
125,Bern,9,fr,UNKNOWN,Night,1.0,7
126,Ticino,6,en,MALE,Day,0.08914728682170543,258
127,Jura,10,en,UNKNOWN,Night,0.18181818181818182,11
128,Valais,8,de,MALE,Day,1.0,9
129,Obwalden,4,en,MALE,Day,0.1875,16
130,Geneva,7,de,FEMALE,Night,1.0,1
131,Saint Gallen,1,en,UNKNOWN,Night,0.0,19
132,Lucerne,7,de,UNKNOWN,Night,1.0,4
133,Neuchâtel,6,fr,MALE,Day,1.0,1
134,Schaffhausen,1,de,MALE,Night,1.0,1
135,Saint Gallen,5,de,FEMALE,Night,1.0,5
136,Aargau,2,en,FEMALE,Night,0.2,5
137,Ticino,8,fr,UNKNOWN,Night,1.0,1
138,Lucerne,4,en,UNKNOWN,Night,0.31683168316831684,101
139,Geneva,4,en,FEMALE,Night,0.18804920913884007,1138
140,Vaud,6,de,UNKNOWN,Night,0.9077490774907749,542
141,Valais,7,fr,UNKNOWN,Night,0.6421052631578947,190
142,Vaud,10,de,MALE,Night,0.8192771084337349,166
143,Bern,1,de,UNKNOWN,Day,0.8108108108108109,74
144,Valais,5,en,MALE,Day,0.17040358744394618,1115
145,Fribourg,7,en,MALE,Day,0.056818181818181816,88
146,Fribourg,9,fr,UNKNOWN,Night,1.0,8
147,Geneva,10,fr,FEMALE,Day,0.647887323943662,142
148,Zurich,2,fr,UNKNOWN,Day,0.9178082191780822,73
149,Basel-Landschaft,8,en,UNKNOWN,Day,0.18604651162790697,43
150,Jura,9,en,MALE,Night,0.2857142857142857,7
151,Saint Gallen,2,en,FEMALE,Night,0.0,2
152,Bern,1,fr,MALE,Night,1.0,1
153,Bern,2,de,FEMALE,Day,0.9272727272727272,55
154,Vaud,3,en,UNKNOWN,Night,0.20789744068746496,42824
155,Zurich,10,en,MALE,Day,0.2165437890974084,17904
156,Ticino,10,en,FEMALE,Day,0.145985401459854,274
157,Zurich,3,fr,FEMALE,Day,0.8823529411764706,34
158,Solothurn,10,de,UNKNOWN,Night,1.0,5
159,Appenzell Ausserrhoden,10,de,UNKNOWN,Day,1.0,20
160,Solothurn,4,en,MALE,Night,-0.06666666666666667,15
161,Appenzell Innerrhoden,3,en,MALE,Day,0.14285714285714285,7
162,Schwyz,9,en,UNKNOWN,Day,0.25,12
163,Neuchâtel,4,en,FEMALE,Night,0.5,10
164,Basel-Landschaft,9,en,FEMALE,Day,0.6666666666666666,3
165,Glarus,8,en,MALE,Day,0.0,1
166,Neuchâtel,10,fr,FEMALE,Day,-1.0,1
167,Basel-City,5,de,UNKNOWN,Day,0.9328018223234624,1756
168,Vaud,8,fr,MALE,Day,0.8472222222222222,288
169,Geneva,10,de,MALE,Day,0.8926174496644296,149
170,Lucerne,1,de,MALE,Night,1.0,3
171,Schaffhausen,9,de,UNKNOWN,Day,0.3333333333333333,3
172,Appenzell Ausserrhoden,9,de,MALE,Day,1.0,12
173,Fribourg,2,de,FEMALE,Day,1.0,1
174,Thurgau,10,de,MALE,Day,1.0,1
175,Grisons,10,de,UNKNOWN,Night,1.0,1
176,Thurgau,6,de,UNKNOWN,Day,1.0,1
177,Basel-City,2,en,UNKNOWN,Day,0.10473907431311083,5423
178,Zurich,3,de,MALE,Day,0.9453781512605042,476
179,Schaffhausen,6,en,UNKNOWN,Day,0.22448979591836735,49
180,Bern,7,en,MALE,Night,0.12700729927007298,685
181,Lucerne,7,en,FEMALE,Night,0.09473684210526316,95
182,Zurich,8,en,UNKNOWN,Day,0.18265541059094398,29969
183,Vaud,9,de,FEMALE,Night,0.8775510204081632,98
184,Valais,1,fr,MALE,Night,0.5151515151515151,33
185,Basel-City,6,de,FEMALE,Day,0.813953488372093,301
186,Aargau,6,de,UNKNOWN,Day,0.92,25
187,Schaffhausen,10,en,MALE,Day,0.208955223880597,67
188,Grisons,9,de,MALE,Night,1.0,12
189,Aargau,10,de,MALE,Day,0.7142857142857143,7
190,Thurgau,3,en,UNKNOWN,Day,0.3333333333333333,9
191,Neuchâtel,10,de,MALE,Day,1.0,5
192,Basel-Landschaft,2,en,MALE,Day,0.6666666666666666,3
193,Appenzell Ausserrhoden,6,en,MALE,Day,-0.5,2
194,Solothurn,8,fr,UNKNOWN,Day,1.0,1
195,Fribourg,3,fr,MALE,Night,1.0,4
196,Jura,5,fr,MALE,Day,1.0,3
197,Schwyz,3,en,MALE,Day,0.3684210526315789,19
198,Basel-City,3,en,FEMALE,Day,0.23890063424947147,946
199,Neuchâtel,3,en,UNKNOWN,Day,0.24324324324324326,37
200,Vaud,6,en,FEMALE,Night,0.20180798004987532,16040
201,Grisons,6,en,MALE,Night,0.21739130434782608,23
202,Zurich,9,en,FEMALE,Day,0.25818989450305385,7204
203,Bern,10,en,UNKNOWN,Night,0.11895497498610338,1799
204,Saint Gallen,10,de,MALE,Day,0.9024390243902439,82
205,Saint Gallen,6,de,UNKNOWN,Day,1.0,75
206,Geneva,8,fr,MALE,Night,0.6210526315789474,95
207,Geneva,8,de,UNKNOWN,Day,0.9272727272727272,55
208,Aargau,3,en,UNKNOWN,Day,0.2631578947368421,38
209,Valais,2,de,FEMALE,Day,1.0,4
210,Basel-City,7,fr,MALE,Night,1.0,5
211,Schaffhausen,7,en,FEMALE,Day,0.3333333333333333,3
212,Aargau,7,de,FEMALE,Day,1.0,1
213,Saint Gallen,3,en,UNKNOWN,Day,0.28205128205128205,39
214,Aargau,4,en,FEMALE,Day,0.18181818181818182,44
215,Geneva,5,en,UNKNOWN,Day,0.16111440426793125,16870
216,Ticino,8,en,MALE,Night,0.061016949152542375,295
217,Fribourg,10,en,UNKNOWN,Night,0.29484902309058614,563
218,Obwalden,6,en,MALE,Night,0.09090909090909091,22
219,Solothurn,1,de,FEMALE,Night,1.0,1
220,Schaffhausen,3,de,MALE,Day,1.0,4
221,Geneva,9,de,FEMALE,Day,0.8571428571428571,42
222,Lucerne,9,de,UNKNOWN,Day,0.8461538461538461,26
